"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"439","Jesper Bratt","N.J","L","62","1158.7666666667","17","51","28","23","68","73.12","137","12.41","21.25","290","219","170","67","7","29","14","6","6","0","0","13","45","9","66","52","31","0","3","0.00"
"450","Brandon Hagel","T.B","L","60","1270.3","30","38","25","13","68","64.76","175","17.14","24.27","334","241","199","98","11","36","44","17","16","0","1","18","79","20","46","93","46","7","15","31.82"
"498","Martin Necas","CAR, COL","C","61","1155.9","20","48","28","20","68","72.34","149","13.42","16.57","309","236","147","52","9","30","12","6","6","0","0","20","66","19","51","77","20","48","79","37.80"
"147","Mark Scheifele","WPG","C","61","1246.8","34","33","19","14","67","65.69","134","25.37","20.95","257","209","177","91","12","22","41","15","13","1","1","23","76","18","57","86","46","449","478","48.44"
"504","Cale Makar","COL","D","61","1574.8","22","45","26","19","67","61.47","190","11.58","15.55","470","296","199","40","11","44","12","6","6","0","0","18","85","47","43","30","97","0","0","-"
"6","Sidney Crosby","PIT","C","61","1245.3333333333","19","46","26","20","65","71.43","175","10.86","25.14","330","262","178","85","9","36","23","10","9","1","0","14","64","20","55","36","33","776","612","55.91"
"491","Nick Suzuki","MTL","C","61","1190.2166666667","19","46","25","21","65","69.89","126","15.08","13.66","243","181","151","53","13","19","6","3","3","0","0","9","59","25","48","71","52","476","468","50.42"
"274","Sam Reinhart","FLA","C","62","1270.05","31","33","19","14","64","68.82","166","18.67","23.63","314","249","201","98","5","35","27","7","5","1","1","11","57","21","72","84","51","169","250","40.33"
"358","Zach Werenski","CBJ","D","59","1586.3666666667","18","46","25","21","64","64.65","212","8.49","15.42","442","309","169","44","21","38","29","13","12","1","0","13","92","34","14","91","103","0","0","-"
"348","Travis Konecny","PHI","R","61","1260.5333333333","22","41","27","14","63","88.73","143","15.38","16.81","292","216","148","48","8","17","45","21","20","1","0","21","62","23","75","63","33","26","50","34.21"
"378","Artemi Panarin","NYR","L","59","1162.1666666667","25","38","17","21","63","81.82","183","13.66","20.97","439","301","190","39","22","29","16","8","8","0","0","11","72","13","14","31","9","0","1","0.00"
"684","Lucas Raymond","DET","L","60","1138.2166666667","22","41","22","19","63","72.41","141","15.60","17.12","282","203","169","54","16","32","16","7","7","0","0","19","63","21","28","74","26","0","3","0.00"
"703","Tim Stützle","OTT","C","60","1201.0333333333","19","44","20","24","63","72.41","124","15.32","13.95","246","176","140","46","5","21","28","14","14","0","0","22","50","17","89","98","34","118","154","43.38"
"57","Matt Duchene","DAL","C","60","1037.1833333333","25","37","18","19","62","74.70","111","22.52","15.61","218","165","128","56","7","25","8","4","4","0","0","5","54","16","21","43","15","314","270","53.77"
"278","William Nylander","TOR","R","61","1213.2666666667","35","27","16","11","62","68.89","201","17.41","24.84","362","275","183","74","9","24","16","6","6","0","0","9","56","25","9","45","17","66","72","47.83"
"302","Brayden Point","T.B","C","55","1082.5166666667","32","30","18","12","62","64.58","143","22.38","21.34","262","197","188","98","3","23","2","1","1","0","0","10","25","12","20","45","28","324","323","50.08"
"349","Dylan Strome","WSH","C","61","1068.65","18","42","21","21","60","72.29","110","16.36","14.92","196","159","129","61","1","25","24","12","12","0","0","11","55","18","15","33","43","535","441","54.82"
"493","Jason Robertson","DAL","L","60","1065.05","25","35","15","20","60","77.92","169","14.79","20.17","330","229","163","61","11","27","10","5","5","0","0","14","67","18","43","63","34","6","11","35.29"
"539","Quinn Hughes","VAN","D","50","1255.8666666667","14","46","26","20","60","63.83","144","9.72","7.51","378","227","112","8","5","31","27","8","6","1","1","15","65","19","8","55","46","0","0","-"
"575","Kirill Marchenko","CBJ","R","57","1071.6166666667","24","36","23","13","60","64.52","155","15.48","17.56","323","226","147","48","9","35","14","7","7","0","0","13","65","29","43","67","29","11","24","31.43"
"343","Sebastian Aho","CAR","C","60","1217.4","23","36","27","9","59","63.44","164","14.02","20.04","348","264","202","69","6","26","42","20","20","0","0","16","73","15","45","59","23","523","418","55.58"
"224","Jake Guentzel","T.B","C","59","1180.3333333333","27","30","16","14","57","58.76","153","17.65","24.46","253","210","175","112","5","35","18","9","9","0","0","18","58","21","19","73","42","138","156","46.94"
"402","Matthew Tkachuk","FLA","L","52","948.03333333333","22","35","23","12","57","75.00","155","14.19","21.89","315","236","151","76","9","45","54","23","22","0","1","23","47","10","84","27","12","1","4","20.00"
"246","Aleksander Barkov","FLA","C","52","1061.0833333333","16","40","18","22","56","77.78","115","13.91","15.8","242","189","138","65","4","23","12","6","6","0","0","10","35","22","59","50","47","476","331","58.98"
"489","Gabriel Vilardi","WPG","C","61","1104.3666666667","26","29","17","12","55","61.11","115","22.61","17.15","203","165","146","92","3","15","12","5","5","0","0","13","34","20","15","74","45","71","71","50.00"
"622","Cole Caufield","MTL","R","61","1088.4","30","25","17","8","55","68.75","179","16.76","20.95","323","260","176","63","10","27","14","7","7","0","0","16","48","16","46","46","26","4","5","44.44"
"772","Wyatt Johnston","DAL","C","60","1147.8833333333","21","34","23","11","55","67.90","163","12.88","27.08","311","239","225","116","4","35","12","6","6","0","0","10","36","25","32","72","30","337","343","49.56"
"181","Filip Forsberg","NSH","L","60","1129.4666666667","22","32","16","16","54","69.23","213","10.33","23.87","465","338","203","74","11","39","36","18","18","0","0","20","88","35","116","55","36","1","9","10.00"
