"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"145","Ryan Strome","ANA","C","59","1007.3333333333","9","26","19","7","35","64.81","107","8.41","15.19","198","162","106","56","5","16","40","17","15","2","0","7","51","14","37","27","30","380","520","42.22"
"241","Artturi Lehkonen","COL","L","49","1036.3333333333","24","11","6","5","35","46.05","108","22.22","19.97","208","167","162","90","5","17","24","11","11","0","0","8","39","10","21","52","30","5","8","38.46"
"325","Frank Vatrano","ANA","R","58","1040.05","18","17","6","11","35","62.50","186","9.68","21.27","325","262","168","75","8","26","42","21","21","0","0","21","39","8","133","40","45","10","14","41.67"
"371","Jake DeBrusk","VAN","L","60","994.28333333333","21","14","6","8","35","63.64","119","17.65","18.23","214","166","142","90","4","25","14","6","6","0","0","11","33","11","81","65","37","6","13","31.58"
"488","Elias Pettersson","VAN","C","54","1014.25","11","24","17","7","35","56.45","94","11.70","13.38","206","155","130","50","4","12","14","7","7","0","0","20","33","21","51","61","63","368","433","45.94"
"490","Owen Tippett","PHI","R","56","925.16666666667","18","17","11","6","35","58.33","143","12.59","12.64","328","226","146","47","12","24","14","6","6","0","0","7","42","23","77","66","48","5","9","35.71"
"640","Thomas Harley","DAL","D","58","1331.4666666667","10","25","9","16","35","38.46","122","8.20","7.39","279","179","84","15","11","29","12","6","6","0","0","2","84","20","26","118","80","0","0","-"
"826","Juraj Slafkovsky","MTL","L","58","979.96666666667","11","24","13","11","35","50.72","86","12.79","14.75","189","143","125","59","5","11","25","11","10","1","0","13","52","11","147","72","42","5","10","33.33"
"105","Zach Hyman","EDM","L","55","1060.1833333333","20","14","10","4","34","40.48","154","12.99","28.8","272","227","212","144","3","39","24","12","12","0","0","12","34","11","43","77","20","1","3","25.00"
"184","Colton Parayko","STL","D","61","1455.7166666667","15","19","9","10","34","49.28","122","12.30","7.26","245","175","74","18","12","18","8","4","4","0","0","5","85","27","91","120","137","0","0","-"
"515","Fabian Zetterlund","S.J","L","62","1051.4666666667","16","18","11","7","34","53.97","133","12.03","16.14","270","208","153","69","12","25","10","5","5","0","0","17","43","20","108","76","61","27","18","60.00"
"559","Barrett Hayton","UTA","C","61","970.93333333333","16","18","7","11","34","64.15","114","14.04","21.82","235","187","176","107","8","25","25","11","10","1","0","19","29","13","16","75","33","425","359","54.21"
"699","Alexis Lafrenière","NYR","L","61","1066.5333333333","14","20","16","4","34","59.65","129","10.85","14.47","250","200","125","60","9","16","24","11","11","0","0","11","38","19","94","60","20","12","19","38.71"
"707","Quinton Byfield","L.A","R","59","1095.7666666667","11","23","11","12","34","55.74","114","9.65","16.64","257","194","134","72","12","29","30","15","15","0","0","16","48","21","53","95","24","282","355","44.27"
"28","Evgenii Dadonov","DAL","R","60","841.03333333333","16","17","9","8","33","62.26","101","15.84","15.09","185","153","99","62","9","19","6","3","3","0","0","6","50","8","37","70","32","0","0","-"
"188","Shayne Gostisbehere","CAR","D","53","974.38333333333","7","26","8","18","33","51.56","95","7.37","5.85","249","162","72","7","8","32","24","12","12","0","0","8","57","26","36","37","45","0","0","-"
"215","MacKenzie Weegar","CGY","D","60","1427.0333333333","6","27","11","16","33","42.31","136","4.41","7","325","199","84","6","13","17","27","12","11","1","0","12","110","35","158","129","134","0","1","0.00"
"230","Nick Paul","T.B","L","54","889.83333333333","18","15","10","5","33","75.00","96","18.75","11.18","180","139","101","53","9","6","30","7","5","0","2","4","35","12","51","49","18","314","302","50.97"
"243","Tyler Bertuzzi","CHI","L","61","995.25","17","16","10","6","33","52.38","103","16.50","17.99","186","167","117","73","8","13","43","12","9","1","2","17","38","15","52","44","25","18","21","46.15"
"481","Casey Mittelstadt","COL","C","61","1044.6333333333","10","23","15","8","33","47.14","79","12.66","9.17","144","111","75","39","4","11","20","10","10","0","0","5","63","15","24","70","22","329","460","41.70"
"627","Kaapo Kakko","NYR, SEA","R","58","893.4","10","23","17","6","33","68.75","91","10.99","10.28","176","132","81","41","4","20","30","11","10","0","1","8","42","15","53","43","17","43","47","47.78"
"720","Will Cuylle","NYR","L","61","909.96666666667","17","16","11","5","33","64.71","113","15.04","16.59","198","165","132","82","14","25","30","12","10","2","0","10","33","9","223","65","36","8","23","25.81"
"753","Matty Beniers","SEA","C","61","1131.6","14","19","10","9","33","63.46","108","12.96","12.98","237","183","128","51","5","17","12","6","6","0","0","17","51","21","31","85","53","433","484","47.22"
"35","Steven Stamkos","NSH","C","60","1077.9","17","15","12","3","32","52.46","127","13.39","16.25","260","189","143","56","5","20","36","18","18","0","0","9","39","14","52","40","31","317","299","51.46"
"155","Stefan Noesen","N.J","R","60","944.71666666667","19","13","10","3","32","49.23","126","15.08","23.97","222","191","151","103","9","30","36","15","13","2","0","7","54","12","110","46","20","37","36","50.68"
"164","Morgan Rielly","TOR","D","61","1315.7","7","25","12","13","32","43.84","99","7.07","4.96","234","153","74","10","6","28","19","8","7","1","0","4","78","11","21","107","88","0","0","-"
"301","Warren Foegele","L.A","L","59","952","17","15","10","5","32","69.57","146","11.64","19.27","270","215","161","86","14","25","14","7","7","0","0","11","46","28","54","65","32","18","20","47.37"
"477","Morgan Geekie","BOS","C","57","931.81666666667","19","13","7","6","32","62.75","114","16.67","15.72","237","179","137","61","8","24","20","10","10","0","0","7","39","23","83","79","23","123","142","46.42"
"649","Simon Holmstrom","NYI","R","53","874.31666666667","14","18","11","7","32","74.42","67","20.90","10.58","154","125","92","37","5","14","6","3","3","0","0","8","35","8","18","42","38","1","2","33.33"
"156","Phillip Danault","L.A","C","58","1036.3","5","26","19","7","31","65.96","92","5.43","11.59","174","134","107","59","9","17","12","6","6","0","0","12","61","19","63","42","57","473","410","53.57"
"249","Elias Lindholm","BOS","C","62","1139.6166666667","11","20","11","9","31","53.45","113","9.73","18.08","222","175","142","75","5","25","14","7","7","0","0","11","32","17","92","28","63","569","484","54.04"
"273","Aaron Ekblad","FLA","D","54","1269.9","3","28","14","14","31","38.75","105","2.86","5.86","287","177","75","13","8","29","51","24","23","1","0","15","56","21","87","51","64","0","0","-"
"395","Mason Marchment","DAL","L","42","650.91666666667","15","16","13","3","31","64.58","95","15.79","13.55","184","145","113","58","7","19","39","18","17","1","0","13","40","15","48","61","10","5","10","33.33"
"502","Josh Norris","OTT","C","52","956.58333333333","19","12","8","4","31","56.36","93","20.43","12.44","171","136","117","56","5","16","34","17","17","0","0","18","31","13","132","46","45","381","329","53.66"
"541","Ryan McLeod","BUF","C","56","894.41666666667","14","17","8","9","31","64.58","60","23.33","7.97","123","94","74","37","5","8","12","6","6","0","0","6","44","19","16","49","23","414","390","51.49"
"616","Dylan Cozens","BUF","C","59","1018.4333333333","11","20","13","7","31","52.54","133","8.27","15.2","243","185","155","56","6","25","60","19","15","2","2","9","54","13","145","47","36","436","425","50.64"
"719","Alex Laferriere","L.A","R","55","928.7","15","16","13","3","31","55.36","132","11.36","17.39","283","217","166","78","9","32","14","7","7","0","0","12","32","12","92","75","24","18","30","37.50"
"756","Owen Power","BUF","D","59","1304.6666666667","6","25","12","13","31","46.97","114","5.26","6.66","240","163","86","20","8","22","12","6","6","0","0","6","53","21","23","87","93","0","0","-"
"757","Matt Coronato","CGY","R","55","943.68333333333","15","16","10","6","31","59.62","128","11.72","15.5","270","191","141","56","13","33","21","9","8","1","0","8","37","14","25","74","24","45","55","45.00"
"775","Mason McTavish","ANA","C","53","879.55","14","17","9","8","31","65.96","114","12.28","16.68","218","170","125","59","7","15","28","14","14","0","0","20","33","10","50","36","25","321","334","49.01"
"18","Jordan Staal","CAR","C","61","942.93333333333","11","19","13","6","30","75.00","87","12.64","13.14","162","132","121","71","4","19","14","7","7","0","0","6","35","7","114","47","39","602","510","54.14"
"132","Jean-Gabriel Pageau","NYI","C","57","960.23333333333","11","19","12","7","30","66.67","96","11.46","15.03","171","133","105","57","6","13","21","5","3","1","1","10","34","17","120","83","36","377","254","59.75"
"157","Vladislav Namestnikov","WPG","C","57","859.56666666667","10","20","6","14","30","55.56","70","14.29","12.58","121","100","90","56","3","23","32","12","11","0","1","9","28","9","62","82","38","251","309","44.82"
"183","Matt Grzelcyk","PIT","D","63","1268.6833333333","1","29","17","12","30","44.12","77","1.30","3.13","208","131","47","3","6","20","8","4","4","0","0","5","61","22","29","79","75","0","0","-"
"297","Brandon Montour","SEA","D","60","1387.6666666667","11","19","10","9","30","46.15","171","6.43","11.2","399","274","105","22","14","31","37","16","15","1","0","12","69","18","63","83","74","0","0","-"
"303","Jake Walman","S.J","D","49","1135.8166666667","6","24","10","14","30","45.45","124","4.84","8.3","299","187","58","11","14","25","36","17","17","0","0","10","62","21","47","46","107","0","0","-"
"364","Thomas Chabot","OTT","D","59","1369","5","25","12","13","30","38.46","140","3.57","6.76","341","198","98","12","18","27","22","11","11","0","0","8","74","26","41","81","95","0","0","-"
"651","Jackson LaCombe","ANA","D","52","1104.9833333333","11","19","12","7","30","58.82","110","10.00","7.13","198","143","64","24","4","21","18","9","9","0","0","4","54","28","43","100","88","0","0","-"
"688","Jake Neighbours","STL","L","62","995.18333333333","15","15","9","6","30","54.55","102","14.71","13.97","156","132","111","67","7","16","37","17","16","1","0","19","40","9","138","90","41","5","13","27.78"
"23","James van Riemsdyk","CBJ","L","53","658.65","14","15","9","6","29","69.05","66","21.21","9.79","108","92","74","49","4","17","12","6","6","0","0","8","30","4","22","39","12","4","13","23.53"
"66","Reilly Smith","NYR","R","58","904.61666666667","10","19","10","9","29","65.91","90","11.11","10.92","153","125","91","46","5","15","22","10","10","0","0","6","50","20","42","36","34","1","2","33.33"
"111","Nino Niederreiter","WPG","R","61","897.21666666667","14","15","10","5","29","53.70","116","12.07","17.01","198","167","108","78","7","23","18","9","9","0","0","10","41","11","111","90","33","16","24","40.00"
"131","Blake Coleman","CGY","C, L","60","1063.1833333333","12","17","12","5","29","65.91","141","8.51","19.86","277","215","168","83","15","19","28","13","13","0","0","10","56","26","122","45","49","37","32","53.62"
"148","Sean Couturier","PHI","C","58","964.01666666667","9","20","14","6","29","55.77","103","8.74","13.48","174","137","106","60","3","12","29","13","12","1","0","12","59","18","38","54","34","483","379","56.03"
"307","Devon Toews","COL","D","57","1413.9833333333","7","22","7","15","29","39.19","109","6.42","6.62","260","163","82","16","8","16","16","7","7","0","0","9","61","23","28","37","79","0","0","-"
"311","Michael Bunting","PIT","L","58","884.33333333333","14","15","9","6","29","59.18","110","12.73","16.31","231","173","136","78","7","27","48","18","17","0","1","20","38","10","58","54","13","5","6","45.45"
"357","Jack Roslovic","CAR","C","60","823.8","19","10","5","5","29","76.32","106","17.92","13.57","216","170","111","44","6","16","4","2","2","0","0","7","46","17","9","65","18","97","77","55.75"
"418","Brett Howden","VGK","C","59","882.86666666667","16","13","9","4","29","64.44","103","15.53","13.02","171","145","108","60","16","12","24","11","11","0","0","10","27","18","97","58","46","149","139","51.74"
"614","Bowen Byram","BUF","D","59","1367.4166666667","7","22","8","14","29","40.85","71","9.86","6.2","154","109","52","14","3","11","26","13","13","0","0","7","59","13","62","102","86","0","0","-"
"762","Logan Stankoven","DAL","C","57","862.36666666667","9","20","9","11","29","64.44","147","6.12","16.59","253","203","140","69","9","27","6","3","3","0","0","18","40","15","42","61","24","79","92","46.20"
"764","Cole Sillinger","CBJ","C","54","934.5","9","20","13","7","29","61.70","114","7.89","12.64","198","156","100","44","10","19","35","12","10","1","1","10","46","17","61","66","30","254","293","46.44"
"174","Mike Matheson","MTL","D","59","1461.6","5","23","15","8","28","37.84","109","4.59","7.18","276","166","71","13","10","14","43","16","14","1","1","12","78","39","45","77","119","0","0","-"
"257","Alexander Wennberg","S.J","C","57","1042.55","8","20","11","9","28","47.46","62","12.90","8.98","138","96","86","44","3","20","8","4","4","0","0","13","30","25","27","48","55","358","392","47.73"
"318","Jake Evans","MTL","C","61","949.96666666667","12","16","12","4","28","66.67","58","20.69","10.3","129","97","88","37","1","13","10","5","5","0","0","16","47","10","93","91","42","433","387","52.80"
"326","Noah Hanifin","VGK","D","60","1278.1333333333","7","21","12","9","28","39.44","115","6.09","5.47","244","160","68","15","7","18","14","7","7","0","0","4","85","26","33","90","83","0","0","-"
"334","Vince Dunn","SEA","D","41","906.23333333333","11","17","8","9","28","46.67","94","11.70","4.3","206","125","46","10","6","10","23","10","9","1","0","13","55","16","22","47","46","0","0","-"
"372","Ivan Provorov","CBJ","D","60","1413.6833333333","7","21","10","11","28","36.36","73","9.59","4.64","188","108","53","11","6","16","18","9","9","0","0","9","84","21","18","90","94","0","0","-"
"486","Eeli Tolvanen","SEA","R","61","839.1","18","10","5","5","28","68.29","101","17.82","10.97","210","161","102","40","3","14","14","7","7","0","0","3","33","10","187","56","49","4","4","50.00"
"494","Morgan Frost","CGY, PHI","C","59","906.58333333333","13","15","6","9","28","62.22","104","12.50","13.56","190","148","125","59","2","18","22","11","11","0","0","10","43","23","44","44","44","371","356","51.03"
"531","Pius Suter","VAN","C","59","977.01666666667","16","12","7","5","28","58.33","90","17.78","11.25","171","126","107","46","6","20","10","5","5","0","0","1","28","16","36","29","27","229","301","43.21"
"626","Bobby Brink","PHI","R","58","827.4","8","20","12","8","28","66.67","82","9.76","9.81","155","115","89","45","2","7","14","7","7","0","0","6","39","14","76","56","21","9","23","28.13"
"721","Tyson Foerster","PHI","R","60","966.91666666667","16","12","6","6","28","66.67","92","17.39","12.26","188","149","120","59","9","23","39","14","12","1","1","13","30","10","42","59","36","0","1","0.00"
"743","Mason Lohrei","BOS","D","57","1085.95","4","24","9","15","28","46.67","65","6.15","4.39","187","111","60","11","8","16","16","8","8","0","0","10","78","31","15","91","77","0","0","-"
"850","Will Smith","S.J","C","54","802.36666666667","10","18","14","4","28","68.29","82","12.20","7.88","176","121","92","25","6","12","10","5","5","0","0","1","47","10","9","31","11","50","94","34.72"
"171","Scott Laughton","PHI","C","58","871.5","11","16","11","5","27","79.41","101","10.89","13.5","186","151","96","51","6","13","21","9","8","1","0","9","48","14","121","28","32","171","175","49.42"
"192","Jordan Martinook","CAR","L","61","938.1","10","17","10","7","27","69.23","92","10.87","14.01","195","156","104","66","9","17","10","5","5","0","0","5","41","14","72","73","39","28","33","45.90"
"248","Seth Jones","CHI, FLA","D","43","1052.1333333333","7","20","12","8","27","44.26","83","8.43","3.99","199","120","54","5","4","16","18","9","9","0","0","4","58","18","63","58","85","0","0","-"
"271","Frederick Gaudreau","MIN","C","61","931.6","13","14","11","3","27","61.36","83","15.66","8.52","151","116","76","35","6","7","6","3","3","0","0","4","39","19","33","41","41","386","381","50.33"
"284","Travis Sanheim","PHI","D","61","1496.05","6","21","8","13","27","38.03","107","5.61","7.69","232","162","95","23","10","15","28","14","14","0","0","15","88","37","57","122","133","0","0","-"
"377","Evan Rodrigues","FLA","C","62","946.15","14","13","6","7","27","55.10","129","10.85","14.87","254","193","122","51","8","26","30","15","15","0","0","16","44","15","91","80","18","82","95","46.33"
"520","Noah Cates","PHI","L","57","871.36666666667","13","14","9","5","27","69.23","81","16.05","12.92","161","122","106","69","6","14","10","5","5","0","0","9","20","15","58","50","38","355","411","46.34"
"550","Jesperi Kotkaniemi","CAR","C","61","848.81666666667","11","16","6","10","27","64.29","93","11.83","11.6","174","132","98","50","8","19","42","15","13","2","0","11","50","15","51","86","24","274","272","50.18"
"734","Bobby McMann","TOR","C","53","777.11666666667","17","10","5","5","27","62.79","122","13.93","11.36","213","171","107","51","11","23","18","9","9","0","0","5","25","15","87","44","16","4","17","19.05"
"13","Nick Foligno","CHI","L","58","941.83333333333","12","14","9","5","26","59.09","78","15.38","11.41","128","104","80","59","7","13","44","16","12","4","0","14","31","10","144","36","30","251","256","49.51"
"36","Alex Pietrangelo","VGK","D","57","1289.2666666667","3","23","11","12","26","39.39","104","2.88","5.14","244","174","61","10","19","17","12","6","6","0","0","5","85","21","34","75","115","0","0","-"
"71","Mattias Ekholm","EDM","D","59","1338.0333333333","8","18","7","11","26","36.11","131","6.11","7.43","304","196","94","18","14","23","28","14","14","0","0","6","82","32","38","75","86","0","0","-"
"107","Taylor Hall","CAR, CHI","L","57","850.71666666667","10","16","11","5","26","66.67","101","9.90","10.06","217","145","106","40","7","23","22","11","11","0","0","8","46","27","32","73","35","38","45","45.78"
"129","Adam Lowry","WPG","C","53","815.03333333333","11","15","7","8","26","65.00","74","14.86","9.75","148","119","83","47","6","14","21","6","3","3","0","8","30","16","101","63","45","453","417","52.07"
"461","Trevor Moore","L.A","L","50","853.78333333333","11","15","5","10","26","66.67","103","10.68","14.11","225","170","108","48","6","23","8","4","4","0","0","7","27","21","54","45","19","0","5","0.00"
"508","Filip Chytil","NYR, VAN","C","50","750.38333333333","13","13","7","6","26","66.67","116","11.21","12.58","224","171","123","50","12","16","18","9","9","0","0","17","35","14","16","63","12","244","277","46.83"
"700","Dawson Mercer","N.J","C","62","1100.8333333333","13","13","9","4","26","53.06","101","12.87","15.16","201","145","119","68","7","26","12","5","5","0","0","5","41","15","31","63","43","47","61","43.52"
"758","Luke Hughes","N.J","D","53","1084.3666666667","5","21","13","8","26","61.90","84","5.95","5.49","226","121","87","19","10","18","14","7","7","0","0","5","57","25","16","95","46","0","1","0.00"
"59","Oliver Ekman-Larsson","TOR","D","60","1260.3833333333","4","21","9","12","25","34.72","96","4.17","5.45","240","156","62","7","5","24","40","20","20","0","0","12","71","22","75","66","55","0","0","-"
"115","Brendan Gallagher","MTL","R","61","837.2","15","10","5","5","25","67.57","114","13.16","17.87","226","168","156","74","15","22","25","11","10","1","0","18","45","13","67","40","25","0","5","0.00"
"238","J.T. Compher","DET","L","54","907.83333333333","7","18","10","8","25","59.52","70","10.00","10.67","122","99","82","51","9","11","10","5","5","0","0","7","35","13","15","47","42","332","386","46.24"
"247","Jonathan Drouin","COL","L","28","537.53333333333","7","18","9","9","25","54.35","38","18.42","4.66","72","56","48","23","0","7","4","2","2","0","0","2","25","12","8","18","7","4","11","26.67"
"497","Miro Heiskanen","DAL","D","50","1258.0166666667","5","20","5","15","25","35.71","108","4.63","8.61","287","164","92","16","6","23","10","5","5","0","0","9","67","28","17","103","85","0","0","-"
"534","Eric Robinson","CAR","L","61","735.6","12","13","10","3","25","62.50","81","14.81","11.91","153","117","104","62","9","16","8","4","4","0","0","6","29","7","85","81","10","7","23","23.33"
"646","Shane Pinto","OTT","C","48","846.73333333333","14","11","7","4","25","58.14","95","14.74","14.19","191","141","119","48","3","24","16","8","8","0","0","15","26","20","41","32","35","340","334","50.45"
"769","Brandt Clarke","L.A","D","55","896.15","4","21","12","9","25","47.17","98","4.08","5.42","195","134","46","10","4","25","36","18","18","0","0","10","46","21","15","92","96","0","0","-"
"802","Cutter Gauthier","ANA","L","59","838.53333333333","12","13","8","5","25","60.98","125","9.60","13.24","276","207","120","41","15","20","14","7","7","0","0","9","64","13","48","57","37","10","24","29.41"
"846","Leo Carlsson","ANA","C","53","846.21666666667","13","12","3","9","25","69.44","68","19.12","9.93","146","108","95","48","6","13","8","4","4","0","0","11","35","9","19","26","24","175","255","40.70"
"863","Maxim Tsyplakov","NYI","R","55","863.55","7","18","8","10","25","59.52","76","9.21","12.74","182","134","107","53","6","19","33","15","14","1","0","8","61","18","116","90","29","9","8","52.94"
"10","Kris Letang","PIT","D","56","1315.7166666667","8","16","7","9","24","40.00","130","6.15","9.01","287","188","88","19","13","32","38","18","18","0","0","13","67","28","93","79","66","0","0","-"
"19","Alex Killorn","ANA","L","59","1021.0666666667","11","13","8","5","24","51.06","89","12.36","9.91","207","140","96","36","6","17","26","13","13","0","0","8","43","8","59","56","16","7","10","41.18"
"69","Dmitry Orlov","CAR","D","61","1201.7833333333","4","20","8","12","24","37.50","93","4.30","5.28","249","160","75","7","11","22","18","9","9","0","0","10","78","19","87","59","47","0","0","-"
"100","Vladimir Tarasenko","DET","R","58","861.3","8","16","10","6","24","55.81","103","7.77","10.75","212","145","119","42","13","13","6","3","3","0","0","9","38","9","45","54","26","0","2","0.00"
"153","Joel Armia","MTL","R","61","896.01666666667","10","14","11","3","24","66.67","91","10.99","10.68","201","132","98","36","15","18","16","8","8","0","0","6","34","17","81","37","26","3","11","21.43"
"255","Max Domi","TOR","C","53","768.05","4","20","14","6","24","57.14","73","5.48","7.59","146","106","76","27","4","10","44","19","17","2","0","8","43","14","17","32","19","208","210","49.76"
"322","Darren Raddysh","T.B","D","52","942.08333333333","3","21","10","11","24","41.38","82","3.66","4.32","211","137","57","4","10","18","12","6","6","0","0","5","41","6","32","90","47","0","0","-"
"346","Keegan Kolesar","VGK","R","60","804.46666666667","12","12","7","5","24","66.67","63","19.05","8.48","120","100","75","43","6","13","39","12","7","5","0","12","28","10","172","95","39","5","8","38.46"
"370","Joel Eriksson Ek","MIN","C","42","824.58333333333","9","15","9","6","24","50.00","123","7.32","15.2","191","164","120","73","12","16","20","9","9","0","0","15","29","13","69","46","31","361","409","46.88"
"413","Patrik Laine","MTL","L","33","480.55","14","10","7","3","24","70.59","75","18.67","6.18","136","101","43","11","3","11","10","5","5","0","0","3","24","8","17","25","24","9","10","47.37"
"433","Taylor Raddysh","WSH","R","61","758.06666666667","5","19","7","12","24","64.86","63","7.94","8.7","132","94","76","40","4","11","14","7","7","0","0","8","35","9","46","33","23","7","16","30.43"
"564","Noah Dobson","NYI","D","49","1167.8666666667","6","18","9","9","24","41.38","147","4.08","6.14","319","211","71","8","11","22","16","8","8","0","0","8","71","30","43","110","86","0","0","-"
"779","Simon Edvinsson","DET","D","56","1169.2","7","17","10","7","24","47.06","57","12.28","3.4","155","87","44","6","6","16","36","14","13","0","1","8","71","16","56","117","102","0","0","-"
"121","Ondrej Palat","N.J","L","60","835.36666666667","13","10","3","7","23","56.10","79","16.46","10.81","161","123","106","47","7","20","12","6","6","0","0","13","39","21","99","63","48","4","16","20.00"
"193","Damon Severson","CBJ","D","57","1122.4166666667","6","17","13","4","23","38.98","79","7.59","6.57","167","115","73","22","15","15","37","17","16","1","0","11","69","24","39","46","92","0","0","-"
"199","Jaccob Slavin","CAR","D","61","1323.95","6","17","6","11","23","35.94","83","7.23","4.8","250","164","58","7","12","39","8","4","4","0","0","4","56","47","18","82","105","0","0","-"
"231","Andrew Copp","DET","C","56","823.33333333333","10","13","10","3","23","65.71","68","14.71","11.19","119","99","80","43","6","10","8","4","4","0","0","5","37","18","9","38","35","318","309","50.72"
"408","Charlie McAvoy","BOS","D","50","1183.5166666667","7","16","7","9","23","40.35","99","7.07","5.91","205","141","80","16","8","19","46","22","22","0","0","14","72","26","89","122","81","0","0","-"
"533","Kiefer Sherwood","VAN","L","56","816.86666666667","13","10","7","3","23","65.71","101","12.87","9.64","190","149","86","38","6","16","24","12","12","0","0","12","29","21","321","62","25","18","24","42.86"
"574","Michael Kesselring","UTA","D","61","1126.35","6","17","13","4","23","53.49","112","5.36","5.03","274","169","75","6","7","30","65","20","15","3","2","13","76","19","73","103","54","0","0","-"
"635","Alex Vlasic","CHI","D","61","1444.85","2","21","10","11","23","33.33","82","2.44","3.5","167","120","43","7","1","15","10","5","5","0","0","5","72","40","46","113","115","0","0","-"
"657","Ilya Mikheyev","CHI","R","59","894.56666666667","12","11","6","5","23","56.10","97","12.37","10.87","154","130","77","50","7","18","14","7","7","0","0","4","39","16","24","36","8","1","8","11.11"
"694","Jack Quinn","BUF","R","52","799.2","10","13","7","6","23","57.50","95","10.53","10.56","210","155","100","25","5","17","14","7","7","0","0","10","35","8","34","58","21","1","4","20.00"
"706","Brock Faber","MIN","D","57","1430.3333333333","6","17","6","11","23","32.39","75","8.00","3.7","196","116","64","10","7","20","19","8","7","1","0","9","71","18","21","72","72","0","0","-"
"807","Marco Kasper","DET","C","55","818.45","10","13","4","9","23","63.89","92","10.87","13","163","133","93","50","7","12","20","10","10","0","0","6","33","8","106","51","29","170","190","47.22"
"29","Mikael Backlund","CGY","C","60","1148.4666666667","10","12","7","5","22","43.14","140","7.14","15.84","276","210","142","55","13","24","26","12","12","0","0","7","56","31","32","36","36","570","608","48.39"
"72","Marcus Foligno","MIN","L","61","857.38333333333","11","11","6","5","22","57.89","66","16.67","12.44","115","100","74","51","5","15","62","18","10","8","0","15","40","17","195","62","28","3","8","27.27"
"93","Justin Faulk","STL","D","58","1295.6666666667","2","20","9","11","22","45.83","93","2.15","4.94","218","134","74","13","8","28","16","8","8","0","0","2","77","22","63","57","79","0","0","-"
"99","Cam Fowler","ANA, STL","D","49","1072.3833333333","7","15","11","4","22","40.74","63","11.11","3.12","144","82","46","10","4","8","14","7","7","0","0","1","47","11","5","39","74","0","0","-"
"206","Connor Brown","EDM","R","60","811.81666666667","7","15","5","10","22","73.33","79","8.86","8.41","143","109","78","39","7","13","6","3","3","0","0","2","41","22","13","51","28","13","21","38.24"
"233","Andre Burakovsky","SEA","L","58","846.08333333333","6","16","11","5","22","50.00","91","6.59","8.36","171","131","99","33","7","12","10","5","5","0","0","7","22","15","27","72","21","2","2","50.00"
"251","Darnell Nurse","EDM","D","55","1199.75","4","18","13","5","22","38.60","140","2.86","5.96","277","199","70","4","14","19","40","17","15","2","0","10","47","14","110","56","94","0","0","-"
"310","Danton Heinen","PIT, VAN","L","61","835.91666666667","7","15","4","11","22","64.71","65","10.77","9.36","129","95","79","44","7","11","31","10","8","1","1","7","33","15","66","46","28","15","19","44.12"
"312","Gustav Forsling","FLA","D","62","1418.65","9","13","7","6","22","30.99","157","5.73","6.22","328","213","83","6","19","27","10","5","5","0","0","6","51","29","60","58","73","0","0","-"
"316","Victor Olofsson","VGK","L","39","577.91666666667","11","11","9","2","22","56.41","73","15.07","6.8","149","105","79","22","6","13","8","4","4","0","0","3","19","8","17","31","14","1","6","14.29"
"389","Adam Gaudette","OTT","R","59","631.15","16","6","3","3","22","70.97","73","21.92","9.06","149","110","83","36","5","10","6","3","3","0","0","2","33","5","51","40","24","111","109","50.45"
"484","Jesper Boqvist","FLA","C","59","767.93333333333","12","10","6","4","22","64.71","64","18.75","7.41","123","97","69","32","4","7","14","7","7","0","0","11","23","12","136","80","18","67","94","41.61"
"566","Rasmus Sandin","WSH","D","61","1162.4833333333","4","18","11","7","22","32.35","63","6.35","4.7","174","110","49","8","6","18","10","5","5","0","0","4","55","18","73","110","88","0","0","-"
"593","Yegor Sharangovich","CGY","C","52","892.86666666667","11","11","8","3","22","56.41","97","11.34","11.94","222","154","109","44","10","21","6","3","3","0","0","4","35","12","8","37","22","125","127","49.60"
"613","Kirby Dach","MTL","C","57","893.41666666667","10","12","3","9","22","55.00","84","11.90","13.35","155","124","107","59","9","16","40","19","19","0","0","19","39","10","99","73","36","96","142","40.34"
"682","Connor Zary","CGY","C","45","725.85","10","12","5","7","22","78.57","91","10.99","11.79","180","135","105","54","4","22","10","5","5","0","0","9","33","7","22","58","23","83","144","36.56"
"771","Zack Bolduc","STL","C","52","643.76666666667","10","12","4","8","22","59.46","73","13.70","8.13","161","111","83","33","9","12","18","9","9","0","0","10","46","12","71","50","26","5","7","41.67"
"787","Jackson Blake","CAR","R","61","789.43333333333","11","11","8","3","22","61.11","96","11.46","15.01","168","138","130","72","2","21","26","13","13","0","0","19","39","15","16","87","22","14","15","48.28"
"2","Brent Burns","CAR","D","61","1302.5333333333","4","17","8","9","21","33.87","146","2.74","5.65","361","225","83","9","16","29","22","11","11","0","0","5","84","32","9","38","82","0","0","-"
"3","Corey Perry","EDM","R","59","676.98333333333","13","8","4","4","21","52.50","71","18.31","10.51","139","105","92","51","4","13","34","11","7","4","0","21","32","11","19","56","18","11","9","55.00"
